Open,High,Low,Close,Volume
737.0,737.0,728.0,728.0,9587208.0
729.0,729.0,725.0,729.0,7096626.0
730.0,730.0,725.0,725.0,6958164.0
726.0,726.0,723.0,726.0,4760969.0
730.0,730.0,723.0,723.0,17581984.0
733.0,733.0,724.0,733.0,11378111.0
735.0,735.0,729.0,729.0,13492130.0
735.0,735.0,725.0,735.0,6346523.0
732.0,732.0,727.0,727.0,7698944.0
742.0,742.0,730.0,742.0,9102857.0
750.0,750.0,739.0,739.0,5715781.0
760.0,760.0,750.0,760.0,21840959.0
755.0,755.0,750.0,750.0,13687430.0
756.0,756.0,750.0,756.0,17707953.0
755.0,755.0,745.0,745.0,5535999.0
754.0,754.0,749.0,754.0,2850847.0
755.0,755.0,750.0,750.0,5018811.0
765.0,765.0,749.0,765.0,16098257.0
765.0,765.0,750.0,750.0,11683992.0
763.0,763.0,753.0,763.0,7674441.0
772.0,772.0,755.0,755.0,17710571.0
774.0,774.0,765.0,774.0,10367567.0
777.0,777.0,763.0,763.0,12474125.0
780.0,780.0,762.0,780.0,19886453.0
760.0,760.0,752.0,752.0,6072107.0
768.0,768.0,753.0,768.0,4815541.0
768.0,768.0,755.0,755.0,6697374.0
765.0,765.0,756.0,765.0,2368174.0
762.0,762.0,754.0,754.0,13223055.0
764.0,764.0,755.0,764.0,4584792.0
766.0,766.0,756.0,756.0,3146446.0
765.0,765.0,759.0,765.0,6207023.0
768.0,768.0,754.0,754.0,3736305.0
765.0,765.0,760.0,765.0,3789781.0
770.0,770.0,757.0,757.0,12628679.0
773.0,773.0,765.0,773.0,560034.0
778.0,778.0,769.0,769.0,4032416.0
780.0,780.0,770.0,780.0,3461626.0
777.0,777.0,761.0,761.0,2093259.0
760.0,760.0,754.0,760.0,3560706.0
760.0,760.0,751.0,751.0,2712199.0
762.0,762.0,755.0,762.0,3028699.0
765.0,765.0,759.0,759.0,2976459.0
760.0,760.0,757.0,760.0,6067393.0
768.0,768.0,760.0,760.0,4722361.0
770.0,770.0,762.0,770.0,5824754.0
784.0,784.0,770.0,770.0,10284442.0
780.0,780.0,762.0,780.0,6096104.0
766.0,766.0,745.0,745.0,7664052.0
756.0,756.0,742.0,756.0,7940938.0
775.0,775.0,759.0,759.0,4874908.0
771.0,771.0,765.0,771.0,8072324.0
772.0,772.0,765.0,765.0,3594701.0
